"name","pos","name_fbg3","team_fbg3","positionRank_fbg3","overallRank_fbg3","pts_fbg3","passAtt_fbg3","passComp_fbg3","passYds_fbg3","passTds_fbg3","passInt_fbg3","rushAtt_fbg3","rushYds_fbg3","rushTds_fbg3","rec_fbg3","recYds_fbg3","recTds_fbg3","returnTds_fbg3","twoPts_fbg3","fumbles_fbg3"
"DARIUSJOHNSON","WR","Darius Johnson","ATL",161,410,4.9,NA,NA,NA,NA,NA,0,0,0,4,49,0,NA,NA,NA
"ERICWEEMS","WR","Eric Weems","",162,411,4.8,NA,NA,NA,NA,NA,0,0,0,4,48,0,NA,NA,NA
"ARTHURLYNCH","TE","Arthur Lynch","MIA",75,412,4.5,NA,NA,NA,NA,NA,NA,NA,NA,4,45,0,NA,NA,NA
"FRANKSUMMERS","RB","Frank Summers","BUF",119,413,4.4,NA,NA,NA,NA,NA,2,10,0,4,34,0,NA,NA,NA
"DANORLOVSKY","QB","Dan Orlovsky","DET",58,414,4.1,10,6,78,0,0,1,2,0,NA,NA,NA,NA,NA,NA
"MICHAELHILL","RB","Michael Hill","GB",120,414,4.1,NA,NA,NA,NA,NA,7,29,0,1,12,0,NA,NA,NA
"RYANGRANT","WR","Ryan Grant","WAS",163,414,4.1,NA,NA,NA,NA,NA,0,0,0,3,41,0,NA,NA,NA
"LAMICHAELJAMES","RB","LaMichael James","SF",121,417,4,NA,NA,NA,NA,NA,8,37,0,0,3,0,NA,NA,NA
"LOGANTHOMAS","QB","Logan Thomas","ARI",59,418,3.95,10,6,71,0,0,1,4,0,NA,NA,NA,NA,NA,NA
"BROCKOSWEILER","QB","Brock Osweiler","DEN",59,418,3.95,10,6,71,0,0,2,4,0,NA,NA,NA,NA,NA,NA
"TARVARISJACKSON","QB","Tarvaris Jackson","SEA",61,420,3.9,10,6,68,0,0,2,5,0,NA,NA,NA,NA,NA,NA
"JARONBROWN","WR","Jaron Brown","ARI",164,420,3.9,NA,NA,NA,NA,NA,0,0,0,3,39,0,NA,NA,NA
