"name","pos","name_fs","team_fs","positionRank_fs","overallRank_fs","pts_fs","passAtt_fs","passComp_fs","passYds_fs","passTds_fs","passInt_fs","rushAtt_fs","rushYds_fs","rushTds_fs","rec_fs","recYds_fs","recTds_fs","returnTds_fs","twoPts_fs","fumbles_fs"
"RYANGRANT","WR","Ryan Grant","WAS",150,394,2,NA,0,0,0,0,2,6,0,4,21,0,NA,NA,0
"JOSHHUFF","WR","Josh Huff","PHI",150,394,2,NA,0,0,0,0,2,6,0,4,41,0,NA,NA,1
"BRANDONTATE","WR","Brandon Tate","CIN",150,394,2,NA,0,0,0,0,1,0,0,2,23,0,NA,NA,0
"LOGANTHOMAS","QB","Logan Thomas","ARI",58,402,1,NA,2,52,0,1,0,0,0,0,0,0,NA,NA,0
"CHARLIEWHITEHURST","QB","Charlie Whitehurst","TEN",58,402,1,NA,3,28,0,0,14,0,0,0,0,0,NA,NA,0
"BRANDENOLIVER","RB","Branden Oliver","SDC",112,402,1,NA,0,0,0,0,7,11,0,0,0,0,NA,NA,0
"CEDRICPEERMAN","RB","Cedric Peerman","CIN",112,402,1,NA,0,0,0,0,9,19,0,0,0,0,NA,NA,0
"MATTHEWMULLIGAN","TE","Matthew Mulligan","CHI",81,402,1,NA,0,0,0,0,0,0,0,1,12,0,NA,NA,0
"RYANTAYLOR","TE","Ryan Taylor","GBP",81,402,1,NA,0,0,0,0,0,0,0,3,16,0,NA,NA,0
"JEFFMAEHL","WR","Jeff Maehl","PHI",154,402,1,NA,0,0,0,0,0,0,0,1,16,0,NA,NA,0
"BRADSMITH","WR","Brad Smith","PHI",154,402,1,NA,0,0,0,0,2,3,0,2,15,0,NA,NA,0
"DEREKANDERSON","QB","Derek Anderson","CAR",60,410,0,NA,1,14,0,0,10,1,0,0,0,0,NA,NA,0
"MATTBARKLEY","QB","Matt Barkley","PHI",60,410,0,NA,5,60,0,2,0,0,0,0,0,0,NA,NA,0
"SAMBRADFORD","QB","Sam Bradford","STL",60,410,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,0
"TYLERBRAY","QB","Tyler Bray","KCC",60,410,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,0
"AUSTINDAVIS","QB","Austin Davis","STL",60,410,0,NA,1,26,0,1,2,5,0,0,0,0,NA,NA,0
"DAVIDFALES","QB","David Fales","CHI",60,410,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,0
"BLAINEGABBERT","QB","Blaine Gabbert","SFO",60,410,0,NA,4,33,0,1,11,0,0,0,0,0,NA,NA,0
"JIMMYGAROPPOLO","QB","Jimmy Garoppolo","NEP",60,410,0,NA,1,16,0,0,5,0,0,0,0,0,NA,NA,0
"BRUCEGRADKOWSKI","QB","Bruce Gradkowski","PIT",60,410,0,NA,1,6,0,0,0,0,0,0,0,0,NA,NA,0
"JOSHJOHNSON","QB","Josh Johnson","SFO",60,410,0,NA,0,0,0,0,2,4,0,0,0,0,NA,NA,0
"LANDRYJONES","QB","Landry Jones","PIT",60,410,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,0
"AJMCCARRON","QB","A.J. McCarron","CIN",60,410,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,0
"LUKEMCCOWN","QB","Luke McCown","NOS",60,410,0,NA,0,0,0,0,1,0,0,0,0,0,NA,NA,0
"COLTMCCOY","QB","Colt McCoy","WAS",60,410,0,NA,0,2,0,0,1,0,0,0,0,0,NA,NA,0
"ZACHMETTENBERGER","QB","Zach Mettenberger","TEN",60,410,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,0
"KELLENMOORE","QB","Kellen Moore","DET",60,410,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,0
"AARONMURRAY","QB","Aaron Murray","KCC",60,410,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,0
"DANORLOVSKY","QB","Dan Orlovsky","DET",60,410,0,NA,0,1,0,0,3,0,0,0,0,0,NA,NA,0
"SEANRENFREE","QB","Sean Renfree","ATL",60,410,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,0
"TOMSAVAGE","QB","Tom Savage","HOU",60,410,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,0
"SCOTTTOLZIEN","QB","Scott Tolzien","GBP",60,410,0,NA,2,18,0,0,0,1,0,0,0,0,NA,NA,0
"DUSTINVAUGHAN","QB","Dustin Vaughan","DAL",60,410,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,0
"JOEWEBB","QB","Joe Webb","CAR",60,410,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,0
"VICKBALLARD","RB","Vick Ballard","IND",114,410,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,0
"KENJONBARNER","RB","Kenjon Barner","PHI",114,410,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,0
"REXBURKHEAD","RB","Rex Burkhead","CIN",114,410,0,NA,0,0,0,0,0,0,0,0,1,0,NA,NA,0
"TYLERGAFFNEY","RB","Tyler Gaffney","NEP",114,410,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,0
"MIKEGILLISLEE","RB","Mike Gillislee","MIA",114,410,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,0
"KENDALLHUNTER","RB","Kendall Hunter","SFO",114,410,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,0
"KYLEJUSZCZYK","RB","Kyle Juszczyk","BAL",114,410,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,0
"DEJIKARIM","RB","Deji Karim","IND",114,410,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,0
"ISAIAHPEAD","RB","Isaiah Pead","STL",114,410,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,0
"SENORISEPERRY","RB","Senorise Perry","CHI",114,410,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,0
"CHASEREYNOLDS","RB","Chase Reynolds","STL",114,410,0,NA,0,0,0,0,1,0,0,1,6,0,NA,NA,0
"DEANTHONYTHOMAS","RB","De'Anthony Thomas","KCC",114,410,0,NA,0,0,0,0,6,12,0,2,12,0,NA,NA,1
"JUWANTHOMPSON","RB","Juwan Thompson","DEN",114,410,0,NA,0,0,0,0,2,0,0,0,0,0,NA,NA,0
"LEONWASHINGTON","RB","Leon Washington","TEN",114,410,0,NA,0,0,0,0,1,1,0,0,0,0,NA,NA,0
"GARRETTCELEK","TE","Garrett Celek","SFO",83,410,0,NA,0,0,0,0,0,0,0,1,3,0,NA,NA,0
"JUSTICECUNNINGHAM","TE","Justice Cunningham","STL",83,410,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,0
"DANIELFELLS","TE","Daniel Fells","NYG",83,410,0,NA,0,0,0,0,0,0,0,0,4,0,NA,NA,0
"CROCKETTGILLMORE","TE","Crockett Gillmore","BAL",83,410,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,0
"CHRISGRAGG","TE","Chris Gragg","BUF",83,410,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,0
"DEMETRIUSHARRIS","TE","Demetrius Harris","KCC",83,410,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,0
"GATORHOSKINS","TE","Gator Hoskins","MIA",83,410,0,NA,0,0,0,0,0,0,0,2,9,0,NA,NA,0
"DCJEFFERSON","TE","D.C. Jefferson","CAR",83,410,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,0
"NICKKASA","TE","Nick Kasa","OAK",83,410,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,0
"BRIANLEONHARDT","TE","Brian Leonhardt","OAK",83,410,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,0
"ANTHONYMCCOY","TE","Anthony McCoy","SEA",83,410,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,0
"FENDIONOBUN","TE","Fendi Onobun","JAC",83,410,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,0
