"name","pos","name_eds","team_eds","positionRank_eds","overallRank_eds","pts_eds","passAtt_eds","passComp_eds","passYds_eds","passTds_eds","passInt_eds","rushAtt_eds","rushYds_eds","rushTds_eds","rec_eds","recYds_eds","recTds_eds","returnTds_eds","twoPts_eds","fumbles_eds"
"JORDANMATTHEWS","WR","Jordan Matthews","PHI",52,146,101.8,NA,NA,NA,NA,NA,54,718,5,0,0,0,NA,NA,NA
"MARTELLUSBENNETT","TE","Martellus Bennett","CHI",15,147,101.6,NA,NA,NA,NA,NA,NA,NA,NA,57,656,6,NA,NA,NA
"MARKUSWHEATON","WR","Markus Wheaton","PIT",53,148,101.3,NA,NA,NA,NA,NA,52,705,5,1,8,0,NA,NA,NA
"KENNYSTILLS","WR","Kenny Stills","NO",54,149,101.1,NA,NA,NA,NA,NA,42,693,5,2,18,0,NA,NA,NA
"LADARIUSGREEN","TE","Ladarius Green","SD",16,150,100.3,NA,NA,NA,NA,NA,NA,NA,NA,43,643,6,NA,NA,NA
"DEVONTAFREEMAN","RB","Devonta Freeman","ATL",49,151,100.2,NA,NA,NA,NA,NA,94,423,4,36,279,1,NA,NA,NA
"RODSTREATER","WR","Rod Streater","OAK",55,152,100.1,NA,NA,NA,NA,NA,54,761,4,0,0,0,NA,NA,NA
"DOUGBALDWIN","WR","Doug Baldwin","SEA",56,153,100,NA,NA,NA,NA,NA,53,700,5,0,0,0,NA,NA,NA
"DARRENSPROLES","RB","Darren Sproles","PHI",50,154,97.9,NA,NA,NA,NA,NA,52,234,1,58,505,3,NA,NA,NA
"KHIRYROBINSON","RB","Khiry Robinson","NO",51,155,97.7,NA,NA,NA,NA,NA,153,681,4,8,56,0,NA,NA,NA
"JONATHANSTEWART","RB","Jonathan Stewart","CAR",52,156,97.2,NA,NA,NA,NA,NA,148,659,3,18,133,0,NA,NA,NA
"JAMESJONES","WR","James Jones","OAK",57,157,97.1,NA,NA,NA,NA,NA,52,671,5,0,0,0,NA,NA,NA
"DELANIEWALKER","TE","Delanie Walker","TEN",17,158,96.6,NA,NA,NA,NA,NA,NA,NA,NA,60,606,6,NA,NA,NA
"TAVONAUSTIN","WR","Tavon Austin","STL",58,159,96.5,NA,NA,NA,NA,NA,49,551,4,12,114,1,NA,NA,NA
"TEDDYBRIDGEWATER","QB","Teddy Bridgewater","MIN",33,160,96.42,190,117,1378,9,7,14,63,1,NA,NA,NA,NA,NA,NA
"WESWELKER","WR","Wes Welker","DEN",59,161,95.1,NA,NA,NA,NA,NA,58,651,5,0,0,0,NA,NA,NA
"HARRYDOUGLAS","WR","Harry Douglas","ATL",59,161,95.1,NA,NA,NA,NA,NA,60,771,3,0,0,0,NA,NA,NA
"MARQISELEE","WR","Marqise Lee","JAC",61,163,94.3,NA,NA,NA,NA,NA,52,673,4,5,30,0,NA,NA,NA
"MALCOMFLOYD","WR","Malcom Floyd","SD",62,164,93.5,NA,NA,NA,NA,NA,44,695,4,0,0,0,NA,NA,NA
"MIKEWILLIAMS","WR","Mike Williams","BUF",63,165,91.7,NA,NA,NA,NA,NA,44,557,6,0,0,0,NA,NA,NA
"TYLEREIFERT","TE","Tyler Eifert","CIN",18,166,91.6,NA,NA,NA,NA,NA,NA,NA,NA,52,616,5,NA,NA,NA
"BRIANQUICK","WR","Brian Quick","STL",64,167,89.6,NA,NA,NA,NA,NA,44,656,4,0,0,0,NA,NA,NA
"BENNYCUNNINGHAM","RB","Benny Cunningham","STL",53,168,88.3,NA,NA,NA,NA,NA,116,545,4,13,98,0,NA,NA,NA
"MARVINJONES","WR","Marvin Jones","CIN",65,168,88.3,NA,NA,NA,NA,NA,45,603,4,5,40,0,NA,NA,NA
"JARRETTBOYKIN","WR","Jarrett Boykin","GB",66,170,88.1,NA,NA,NA,NA,NA,44,581,5,0,0,0,NA,NA,NA
"ANTONIOGATES","TE","Antonio Gates","SD",19,171,86.2,NA,NA,NA,NA,NA,NA,NA,NA,56,622,4,NA,NA,NA
"ROYHELU","RB","Roy Helu","WAS",54,172,85.5,NA,NA,NA,NA,NA,72,313,2,47,362,1,NA,NA,NA
"CHRISTINEMICHAEL","RB","Christine Michael","SEA",55,173,84.6,NA,NA,NA,NA,NA,112,515,4,12,91,0,NA,NA,NA
"JERRICHOCOTCHERY","WR","Jerricho Cotchery","CAR",67,174,84.5,NA,NA,NA,NA,NA,49,605,4,0,0,0,NA,NA,NA
"ANDREHOLMES","WR","Andre Holmes","OAK",68,175,83.3,NA,NA,NA,NA,NA,37,533,5,0,0,0,NA,NA,NA
"RONNIEHILLMAN","RB","Ronnie Hillman","DEN",56,176,82.2,NA,NA,NA,NA,NA,117,509,2,22,193,0,NA,NA,NA
"JAREDCOOK","TE","Jared Cook","STL",20,177,82.1,NA,NA,NA,NA,NA,NA,NA,NA,41,521,5,NA,NA,NA
"ROBERTWOODS","WR","Robert Woods","BUF",69,178,81.9,NA,NA,NA,NA,NA,43,624,3,2,15,0,NA,NA,NA
"SHONNGREENE","RB","Shonn Greene","TEN",57,179,81.8,NA,NA,NA,NA,NA,122,439,6,3,19,0,NA,NA,NA
"STEVESMITH","WR","Steve Smith","BAL",70,179,81.8,NA,NA,NA,NA,NA,54,632,3,1,6,0,NA,NA,NA
