"name","player","pos","team","overallRank","projections","projectedPts_accu","projectedPts_cbs1","projectedPts_cbs2","projectedPts_espn","projectedPts_ffn","projectedPts_fp","projectedPts_fs","projectedPts_fftoday","projectedPts_fbg1","projectedPts_fbg2","projectedPts_fbg3","projectedPts_fbg4","projectedPts_fox","projectedPts_nfl","projectedPts_yahoo","passAttMedian","passCompMedian","projectedPtsMean","projectedPtsMedian","pick","sdPts","sdPick","risk"
"JULIUSTHOMAS","Julius Thomas","TE","DEN",65,171.26243082327,188.145,179.875,182.375,187.375,187.375,181.125,190.375,177.875,165,178.5,152.25,160.25,119.75,168.5,147.65,0,0,170.582666666667,171.26243082327,36.1765546890622,19.4584465195036,5.7326,4.49366398471909
"CJSPILLER","C.J. Spiller","RB","BUF",66,170.932588120778,142.195,193.7,158.925,175.6,NA,169.5775,190.45,158.35,165.025,188.75,173.225,175.75,176.725,185.025,168.9,0,0,170.02994047619,170.932588120778,33.2694161167766,14.1630664598218,7.1239,4.07420361865958
"CORDARRELLEPATTERSON","Cordarrelle Patterson","WR","MIN",67,170.599761329756,89.705,155.375,159.375,160.15,NA,173.85,205.725,184.325,175.95,161.375,164.225,171.125,155.875,185.9,155.315,0,0,167.316677489177,170.599761329756,47.2466206758648,25.8734355687811,8.0152,5.39661269581813
"MICHAELCRABTREE","Michael Crabtree","WR","SF",68,170.554118405745,140.29,201.75,196.625,167.575,NA,187.9875,189.35,179,144.875,155.375,168.875,179.5,150,199,149.855,0,0,171.307359307359,170.554118405745,49.6878424315137,21.3098948256296,9.9065,5.10400157293833
"ROBGRONKOWSKI","Rob Gronkowski","TE","NE",69,169.273742145304,170.12,185.25,187.875,157.5,157.5,171.4625,228.35,140.125,208.625,170,149.125,178.75,123.5,169.125,187.275,0,0,172.1235,169.273742145304,32.648400319936,26.1177274258856,9.2739,5.54758367791106
"PERCYHARVIN","Percy Harvin","WR","SEA",70,167.287529265197,-0.03,156.5,131.75,152.6,NA,167.075,180.125,195.875,165.25,155.875,163.3,195,159.2,179.575,150.425,0,0,157.133641774892,167.287529265197,53.349900019996,47.5767433662778,10.5565,7.93597999956048
"RASHADJENNINGS","Rashad Jennings","RB","NYG",71,167.049845879981,171.49,167.5,155.45,165.25,NA,166.765,163.875,196.15,173.475,156,176.1,163,163.05,191.95,170.7,0,0,167.709404761905,167.049845879981,46.7945310937812,11.7649360354225,8.7326,3.98160905687059
"GENOSMITH","Geno Smith","QB","NYJ",72,166.608906328193,168.79,191.74,173.78,111.86,NA,152.528,157.14,120.5,215.78,181.8,139.86,173.3,189.84,174.88,198.82,393.300017856956,237.95,164.182297619048,166.608906328193,178.8,29.2604564621543,10.8,6.03052031042395
"BISHOPSANKEY","Bishop Sankey","RB","TEN",73,166.037566188135,NA,197.6,168.125,155.2,NA,178.8075,195.25,199.25,152.5,153,165.2,171.75,166.325,176.65,136.675,0,0,167.95891025641,166.037566188135,49.2470405918816,19.020962718969,12.6565,5.13646472766871
"TORREYSMITH","Torrey Smith","WR","BAL",74,165.887550353424,146.505,162.125,166.625,169.2,NA,168.65,198,175.225,150.75,149.125,164.575,169.5,172.25,180.625,162.125,0,0,166.443674242424,165.887550353424,59.7279344131174,13.3368011470204,8.2152,4.09573214600734
"WESWELKER","Wes Welker","WR","DEN",75,165.85013867057,188.56,180.125,165.75,160.75,NA,170.9875,185.375,181.375,156.25,141.375,163.875,148,140.125,199.5,166.55,0,0,166.563154761905,165.85013867057,47.1823635272945,17.8704108196765,9.7152,4.72260624043293
"DESEANJACKSON","DeSean Jackson","WR","WAS",76,164.375150906931,155.86,162.75,164.625,173.475,NA,164.7375,177.475,155.7,161.675,178.5,161.825,173.25,137.625,180.325,166.765,0,0,164.939145021645,164.375150906931,53.919126174765,11.3003059209902,9.0565,3.9648849324016
"FRANKGORE","Frank Gore","RB","SF",77,164.143883880246,134.95,173.425,152.15,176.55,NA,167.6375,198.7,179.275,161.325,153.25,155,162,140.35,159.075,161.575,0,0,160.246547619048,164.143883880246,51.7321835632873,16.2853511555513,10.5565,4.63931938549384
