Name,,Proj Value,Avg Cost,Percent Drafted,
?,No new player Notes,?,$0 ,$0.00 ,0%
,David Akers Det - K,,,,
,Mon 4:10 pm vs NYG,,,,
?,No new player Notes,?,$1 ,$1.20 ,58%
,Heath Miller Pit - TE,,,,
,Sun 10:00 am vs Cle,,,,
?,No new player Notes,?,$0 ,$0.00 ,0%
,Ryan Succop KC - K,,,,
,Sun 10:00 am vs Ten,,,,
?,No new player Notes,?,$0 ,$1.00 ,6%
,Mike Nugent Cin - K,,,,
,Sun 10:00 am @ Bal,,,,
?,No new player Notes,?,$3 ,$1.00 ,12%
,Markus Wheaton Pit - WR,,,,
,Sun 10:00 am vs Cle,,,,
?,No new player Notes,?,$1 ,$1.00 ,36%
,Carson Palmer Ari - QB,,,,
,Mon 7:20 pm vs SD,,,,
?,No new player Notes,?,$0 ,$1.00 ,3%
,Garrett Graham Hou - TE,,,,
,Sun 10:00 am vs Was,,,,
?,New Player Note,?,$4 ,$1.10 ,48%
,Aaron Dobson NE - WR,,,,
,Out,,,,
,Sun 10:00 am @ Mia,,,,
?,No new player Notes,?,$0 ,$1.00 ,24%
,Dwayne Allen Ind - TE,,,,
,Sun 5:30 pm @ Den,,,,
?,No new player Notes,?,$0 ,$1.70 ,9%
,Greg Zuerlein StL - K,,,,
,Sun 10:00 am vs Min,,,,
?,No new player Notes,?,$0 ,$1.00 ,24%
,Robbie Gould Chi - K,,,,
,Sun 10:00 am vs Buf,,,,
?,No new player Notes,?,$0 ,$1.00 ,70%
,Dan Carpenter Buf - K,,,,
,Sun 10:00 am @ Chi,,,,
?,No new player Notes,?,$0 ,$1.00 ,3%
,Tim Wright TB - TE,,,,
,Sun 1:25 pm vs Car,,,,
?,No new player Notes,?,$0 ,$1.00 ,9%
,Alex Henery Phi - K,,,,
,Sun 10:00 am vs Jax,,,,
?,No new player Notes,?,$0 ,$1.00 ,6%
,Shaun Suisham Pit - K,,,,
,Sun 10:00 am vs Cle,,,,
?,No new player Notes,?,$0 ,$1.00 ,67%
,Nick Novak SD - K,,,,
,Mon 7:20 pm @ Ari,,,,
?,No new player Notes,?,$0 ,$1.00 ,9%
,Graham Gano Car - K,,,,
,Sun 1:25 pm @ TB,,,,
?,No new player Notes,?,$0 ,$1.00 ,36%
,Nick Folk NYJ - K,,,,
,Sun 10:00 am vs Oak,,,,
?,No new player Notes,?,$0 ,$1.00 ,36%
,Jay Feely Ari - K,,,,
,Mon 7:20 pm vs SD,,,,
?,No new player Notes,?,$3 ,$-,0%
,Roy Helu Jr. Was - RB,,,,
,Sun 10:00 am @ Hou,,,,
?,No new player Notes,?,$2 ,$-,0%
,Mark Ingram NO - RB,,,,
,Sun 10:00 am @ Atl,,,,
?,No new player Notes,?,$1 ,$-,0%
,Jonathan Stewart Car - RB,,,,
,Sun 1:25 pm @ TB,,,,
?,New Player Note,?,$1 ,$-,0%
,Andre Brown Hou - RB,,,,
,Sun 10:00 am vs Was,,,,
?,No new player Notes,?,$1 ,$-,0%
,Dontae Johnson SF - CB,,,,
,Sun 1:25 pm @ Dal,,,,
?,No new player Notes,?,$4 ,$-,0%
,Donald Brown SD - RB,,,,
,Mon 7:20 pm @ Ari,,,,
?,No new player Notes,?,$0 ,$-,0%
,James Starks GB - RB,,,,
,Thu 5:30 pm @ Sea,,,,
?,No new player Notes,?,$1 ,$-,0%
,Mike Williams Buf - WR,,,,
,Sun 10:00 am @ Chi,,,,
?,Player Note,?,$0 ,$-,0%
,Lorenzo Taliaferro Bal - RB,,,,
,Sun 10:00 am vs Cin,,,,
?,No new player Notes,?,$0 ,$-,0%
,James White NE - RB,,,,
