"name","pos","team","overallRank","pick","positionRank","projections","projectedPts_espn","projectedPts_cbs","projectedPts_nfl","projectedPts_fp","projectedPtsAvg","projectedPtsLatent","vor","sdPick","sdPts","risk","avgCost","projectedCost","inflatedCost"
"Joique Bell","RB","DET",220,162.4,72,38.955,30.75,49.3325,61.425,38.955,44.890625,47.5244359452304,-74.4566666666667,36.5,13.2677834080339,7.17751145115672,NA,1,1
"Mike James","RB","TB",221,NA,73,38.875,NA,26.5925,NA,38.875,21.6058333333333,18.4341077620846,-74.5366666666667,NA,8.68503903992377,3.68946973771549,NA,1,1
"Hayden Smith","TE",NA,222,NA,43,38.8875,NA,NA,NA,38.8875,38.8875,11.9632042501999,-74.6666666666667,NA,NA,NA,NA,1,1
"William Powell","RB",NA,223,NA,74,38.575,NA,NA,NA,38.575,38.575,11.9258976221764,-74.8366666666667,NA,NA,NA,NA,1,1
"Vincent Brown","WR","SD",224,140.6,79,69.2875,52.625,96.925,44,69.2875,65.709375,70.0237429452853,-75.1375,18.15,23.3074813074222,6.29626939361569,1.1,2,2
"Markus Wheaton","WR","PIT",225,197.1,80,69.1375,44.125,88.2625,44.5,69.1375,61.4979166666667,65.6071704034958,-75.2875,32.7,21.3342704058517,7.69595703455351,NA,1,1
"Leonard Hankerson","WR","WAS",226,192.9,81,69.1175,65.1,86.4125,30.125,69.1175,62.7579166666667,67.4917389776414,-75.3075,26.5,23.5963067819945,7.26590610497576,NA,1,1
"Tom Crabtree","TE","TB",227,NA,44,38.1125,46.75,43.6625,19,38.1125,36.88125,40.6563365477429,-75.4416666666667,NA,12.4449809997177,4.569809602495,NA,1,1
"Bilal Powell","RB","NYJ",228,155.1,75,36.925,26.775,58.87,37.6,36.925,40.0425,42.8314785782404,-76.4866666666667,36.2,13.4930343140452,7.17025875304582,NA,1,1
"Justin Forsett","RB","JAC",229,177,76,36.9075,53.025,53.9625,27.325,36.9075,42.7216666666667,45.9305815273559,-76.5041666666667,4,12.9531091827406,3.49824274193656,NA,1,1
"David Paulson","TE","PIT",230,NA,45,36.7375,44.125,NA,NA,36.7375,40.43125,21.0128926665205,-76.8166666666667,NA,5.22375134601562,2.87905575446743,NA,1,1
"Luke Willson","TE",NA,231,NA,46,34.25,NA,NA,NA,34.25,34.25,11.4800083679363,-79.3041666666667,NA,NA,NA,NA,1,1
