"name","pos","projections","risk","inflatedCost","team","overallRank","pick","positionRank","projectedPts_espn","projectedPts_cbs","projectedPts_nfl","projectedPts_fp","projectedPtsAvg","projectedPtsLatent","vor","sdPick","sdPts","avgCost","projectedCost","bidUpTo"
"Zac Stacy","RB",80.8125,7.10263352260866,3,"STL",185,120.6,53,72.275,110.1325,61.7,80.8125,81.0966666666667,84.9823337553341,-39.0583333333333,20.8,20.7937629871716,2,3,1
"A.J. Jenkins","WR",78.9925,5.11096177355777,2,"SF",186,179,75,85.625,75.8375,67.875,78.9925,77.1391666666667,75.0714163714243,-71.2841666666667,21.9,7.36999519448057,1.3,2,1
"Josh Morgan","WR",78.8475,6.43087984249792,1,"WAS",187,223,76,69,81.8,91.375,78.8475,80.5772916666667,78.718394211541,-71.4291666666667,31,9.21407446405588,1,1,1
"Dexter McCluster","WR",77.5825,7.38736630826198,1,"KC",188,194.8,77,73.1,80.1375,55.325,77.5825,72.9004166666667,71.1439851963119,-72.6941666666667,36.7,11.1920891890954,1,1,1
"Brandon Gibson","WR",77.45,5.69082765071031,1,"MIA",189,212.8,78,69.775,87.1625,83.5,77.45,79.609375,77.3176880810577,-72.8266666666667,26.7,7.60457904132986,1,1,1
"Davone Bess","WR",77.3125,8.06552244244588,1,"CLE",190,184.3,79,77.625,87.5375,48.625,77.3125,72.625,74.3592992529474,-72.9641666666667,34.9,16.7855623726662,1,1,1
"Markus Wheaton","WR",75.905,8.1902186754797,1,"PIT",191,185.8,80,44.125,88.2625,44.5,75.905,63.300625,66.452772807241,-74.3716666666667,28.2,22.3837109091075,1,1,1
"Joseph Randle","RB",75.6575,5.52609555196846,1,"DAL",192,147.05,54,75.875,88.1325,57.175,75.6575,74.135,74.1178025739892,-44.2133333333333,18.05,12.7657708019009,1,1,1
"Tyler Eifert","TE",74.55,5.63629085198497,2,"CIN",193,153.05,27,78.125,86.9875,61.375,74.55,75.2177083333333,74.2672004820049,-39.0625,22,10.6307698794192,1.1,2,1
"Marcel Reece","RB",74.405,5.3460866205171,1,"OAK",194,145.75,55,87.05,84.3625,62.95,74.405,77.0835416666667,76.1897278174525,-45.4658333333333,19,10.9422448517584,1,1,1
"Brent Celek","TE",73.75,5.66114563631522,2,"PHI",195,209.3,28,79.75,79.5375,83.75,73.75,79.096875,75.6162148275023,-39.8625,31.3,4.11587848814402,1.1,2,1
"Leonard Hankerson","WR",73.63,8.43947733443211,1,"WAS",196,190.8,81,65.1,86.4125,30.125,73.63,63.844375,67.2651784464762,-76.6466666666667,28,24.1084255132758,1,1,1
"Mike Tolbert","RB",73.395,8.96075668013174,1,"CAR",197,174.2,56,72.35,91.78,17.4,73.395,63.6229166666667,69.6651396497533,-46.4758333333333,21.4,32.150624767128,1,1,1
"James Casey","TE",72.5125,5.61563439518438,1,"PHI",198,201,29,NA,93.7375,46.975,72.5125,71.1416666666667,59.9919008322786,-41.1,4,23.4143685853367,1,1,1
"Andrew Hawkins","WR",72.045,5.55520088071484,1,"CIN",199,212,82,83.95,77.7,NA,72.045,78.585,65.4996026377623,-78.2316666666667,27.8,5.95497760980957,1,1,1
"Scott Chandler","TE",71.225,4.51264661671228,2,"BUF",200,187.5,30,NA,77.0125,83.25,71.225,77.1625,63.4366631278692,-42.3875,18.5,6.0139031626723,1,2,1
"Ryan Williams","RB",70.3175,7.05900730403415,1,"ARI",201,139.7,57,113.425,64.8075,82.65,70.3175,82.6,84.5295001085863,-49.5533333333333,19.1,21.7367276554376,1,1,1
"Chad Henne","QB",70.17,3.77533304013697,1,"JAC",202,NA,33,60.54,72.81,NA,70.17,67.5066666666667,55.5862414779205,-153.586,NA,6.45832021504044,1,1,1
"Nate Washington","WR",69.6,4.91527055824954,1,"TEN",203,189.2,83,61.95,72.0625,84,69.6,71.9989583333333,70.0830070384029,-80.6766666666667,17.7,9.14200683999416,1,1,1
"Robert Turbin","RB",69.2675,4.62913867364259,1,"SEA",204,171,58,81.725,70.4875,63.525,69.2675,71.2345833333333,69.0837530231987,-50.6033333333333,17.3,7.61386796685276,1,1,1
"Jarius Wright","WR",69.1675,6.64050865255844,1,"MIN",205,188.3,84,71.2,86.4875,NA,69.1675,76.5983333333333,62.7617258583188,-81.1091666666667,32.5,9.46767405878198,1,1,1
"Jake Ballard","TE",68.8375,6.03751817918043,2,"NE",206,155.4,31,80.75,50.05,69.25,68.8375,67.1052083333333,66.377975069408,-44.775,22.65,12.7096681334526,1.5,2,1
"Jacob Tamme","TE",67.7125,7.04142918802371,1,"DEN",207,215.8,32,75.375,78.375,50,67.7125,67.865625,67.1532135451926,-45.9,31.5,12.7284678272433,1,1,1
"Tony Scheffler","TE",65.9625,5.4389801014883,1,"DET",208,NA,33,53.5,65.95,82.125,65.9625,66.8760416666667,65.5986365434037,-47.65,NA,11.7351474168769,1,1,1
"Jon Baldwin","WR",65.8625,5.07977152728312,1,"KC",209,174.5,85,42.25,64.5375,72.125,65.8625,61.09375,60.4058989832726,-84.4141666666667,13.7,13.0554686019563,1,1,1
"Joel Dreessen","TE",65.2375,4.89765920328896,2,"DEN",210,NA,34,65,71.875,48.375,65.2375,62.521875,61.2565284182867,-48.375,NA,10.0181625425607,1,2,1
"LaMichael James","RB",65.0125,6.12261953836331,1,"SF",211,149.15,59,53.325,82.7125,48.025,65.0125,62.1270833333333,62.058501252837,-54.8583333333333,19.7,15.3660898978888,1,1,1
"Kevin Kolb","QB",64.342,8.33182037743924,1,"BUF",212,NA,34,97.08,56.83,95.72,64.342,78.0263333333333,78.7753302264736,-159.414,NA,20.9107824498909,1,1,1
"Domenik Hixon","WR",63.8,6.38415989661015,1,"CAR",213,223,86,62,68.2,53.75,63.8,61.9375,59.7176493707553,-86.4766666666667,35,6.04777851776998,1,1,1
"T.J. Graham","WR",63.725,9.19061818538224,1,"BUF",214,206.3,87,46.7,77.0375,38.125,63.725,56.7177083333333,56.5105691776661,-86.5516666666667,44,17.39375,1,1,1
"Daniel Thomas","RB",63.6825,4.52542211177793,1,"MIA",215,165.1,60,65.8,53.6925,63.1,63.6825,61.3520833333333,59.1893868062412,-56.1883333333333,19.5,5.37746706947921,1,1,1
"Earl Bennett","WR",63.5,5.28502716714124,1,"CHI",216,NA,88,48.5,74.825,55.875,63.5,60.6666666666667,59.4750145901431,-86.7766666666667,NA,11.2468328875288,1,1,1
"Kendall Hunter","RB",63.03,7.04550862337397,1,"SF",217,172.3,61,28.175,77.2075,62.7,63.03,57.7364583333333,58.1939149889927,-56.8408333333333,20.2,20.8618684620809,1,1,1
"Jacoby Ford","WR",62.8175,6.71999520647041,1,"OAK",218,231.5,89,70.65,65.2625,60.875,62.8175,65.6370833333333,62.0725609382038,-87.4591666666667,40.5,4.23207322124748,1,1,1
"Mark Sanchez","QB",61.756,9.26320984153158,1,"NYJ",219,NA,35,33.2,50.592,90.06,61.756,58.402,59.0454439765196,-162,NA,23.8650035547172,1,1,1
"Harry Douglas","WR",61.4875,4.52406805818526,1,"ATL",220,NA,90,56.9,67.25,46.375,61.4875,58.0822916666667,56.3667350573411,-88.7891666666667,NA,8.83319010300544,1,1,1
"Kellen Winslow","TE",61.35,2.63649499601237,1,"NYJ",221,NA,35,65.375,NA,NA,61.35,63.0125,31.4704664471698,-52.2625,NA,2.84610479427585,1,1,1
