"name","pos","team_espn","positionRank_espn","overallRank_espn","passAtt_espn","passComp_espn","passYds_espn","passTds_espn","passInt_espn","rushYds_espn","rushTds_espn","recYds_espn","recTds_espn","twoPts_espn","fumbles_espn","pts_espn"
"Jeremy Kerley","WR","NYJ",63,136,0,0,0,0,0,21,0,754,2,NA,NA,83
"Michael Bush","RB","CHI",52,138,0,0,0,0,0,458,6,35,0,NA,NA,82
"Austin Collie","WR","SF",57,138,0,0,0,0,0,0,0,523,5,NA,NA,82
"Brandon Pettigrew","TE","DET",14,138,0,0,0,0,0,0,0,547,5,NA,NA,82
"Brian Hartline","WR","MIA",54,141,0,0,0,0,0,0,0,657,3,NA,NA,81
"Mikel Leshoure","RB","DET",43,142,0,0,0,0,0,454,5,91,0,NA,NA,80
"Shonn Greene","RB","TEN",48,142,0,0,0,0,0,430,6,59,0,NA,NA,80
"Bilal Powell","RB","NYJ",49,142,0,0,0,0,0,481,4,102,0,NA,NA,80
"Danny Woodhead","RB","SD",59,145,0,0,0,0,0,365,0,391,1,NA,NA,79
"Braylon Edwards","WR","NYJ",64,145,0,0,0,0,0,0,0,512,5,NA,NA,79
"Pierre Thomas","RB","NO",58,147,0,0,0,0,0,422,0,327,1,NA,NA,78
"Justin Blackmon","WR","JAC",55,147,0,0,0,0,0,20,0,601,3,NA,NA,78
"Fred Davis","TE","WAS",15,147,0,0,0,0,0,0,0,605,3,NA,NA,78
"Jacoby Jones","WR","BAL",59,150,0,0,0,0,0,18,0,620,3,NA,NA,77
"Le'Veon Bell","RB","PIT",39,151,0,0,0,0,0,398,4,155,0,NA,NA,76
"Brandon LaFell","WR","CAR",67,151,0,0,0,0,0,23,0,644,2,NA,NA,76
"Isaiah Pead","RB","STL",38,153,0,0,0,0,0,502,2,98,1,NA,NA,75
"Bryce Brown","RB","PHI",41,153,0,0,0,0,0,556,3,89,0,NA,NA,75
"Greg Little","WR","CLE",56,153,0,0,0,0,0,16,0,567,3,NA,NA,75
"Jordan Cameron","TE","CLE",16,153,0,0,0,0,0,0,0,599,3,NA,NA,75
"Roy Helu","RB","WAS",53,157,0,0,0,0,0,311,1,278,2,NA,NA,74
"Kenbrell Thompkins","WR","NE",53,157,0,0,0,0,0,0,0,588,3,NA,NA,74
"Brandon Lloyd","WR","FA",74,157,0,0,0,0,0,0,0,564,3,NA,NA,74
"Jonathan Stewart","RB","CAR",44,160,0,0,0,0,0,434,3,140,0,NA,NA,73
"Johnathan Franklin","RB","GB",51,160,0,0,0,0,0,287,2,237,2,NA,NA,73
"Michael Turner","RB","FA",69,160,0,0,0,0,0,371,6,25,0,NA,NA,73
"Jonathan Dwyer","RB","PIT",50,163,0,0,0,0,0,383,4,109,0,NA,NA,72
"Marcel Reece","RB","OAK",61,163,0,0,0,0,0,208,0,482,1,NA,NA,72
"Ben Tate","RB","HOU",46,165,0,0,0,0,0,487,3,62,0,NA,NA,70
"Santana Moss","WR","WAS",58,165,0,0,0,0,0,12,0,533,3,NA,NA,70
"Darrius Heyward-Bey","WR","IND",60,165,0,0,0,0,0,18,0,530,3,NA,NA,70
"Julius Thomas","TE","DEN",22,165,0,0,0,0,0,0,0,547,3,NA,NA,70
"Bernard Pierce","RB","BAL",42,169,0,0,0,0,0,539,2,46,0,NA,NA,69
