"name","pos","team","overallRank","positionRank","passYds","passTds","passInt","rushYds","rushTds","rec","recYds","recTds","twoPts","fumbles","cost","risk","sdPts"
"Vincent Jackson","WR","TB",59,11,NA,NA,NA,0,0,71.9,1238.2,8.2,NA,0.5,29,2.16625183307977,2.96193516063963
"Darren McFadden","RB","OAK",60,21,NA,NA,NA,1029.6,5.9,38.7,304.8,1.2,NA,2,25,4.9241628516977,16.1120052775097
"Jimmy Graham","TE","NO",61,1,NA,NA,NA,NA,NA,89.2,1112.7,10.1,NA,0.2,34,2.56083577323045,5.39070380377182
"Christian Ponder","QB","MIN",62,29,2868.1,17,13.1,196,0.8,NA,NA,NA,NA,4.9,1,8.33297093164833,24.2298243424641
"Victor Cruz","WR","NYG",63,12,NA,NA,NA,0,0,85.8,1159.9,8.5,NA,0.4,23,3.51271186248789,11.2907733348961
"Darren Sproles","RB","NO",64,22,NA,NA,NA,411.8,2.2,79.7,692.2,6.5,NA,0.7,18,3.25822796851426,6.61363695329582
"Matt Flynn","QB","OAK",65,30,2921.2,17.1,13.4,46.7,0.4,NA,NA,NA,NA,2.6,0,10.0369718349712,32.1284511090508
"Marques Colston","WR","NO",66,13,NA,NA,NA,0,0,79.6,1095.5,8.4,NA,1.1,21,2.67652693043266,5.39900646724315
"Dwayne Bowe","WR","KC",67,14,NA,NA,NA,0,0,79.7,1110.3,7.5,NA,0.5,15,4.22286284002341,13.4083593911597
"Rob Gronkowski","TE","NE",68,2,NA,NA,NA,NA,NA,68.2,955.5,10.1,NA,1,17,4.03793170093087,9.86685515902441
"Pierre Garcon","WR","WAS",69,15,NA,NA,NA,13.6,0,75.3,1094.1,7.2,NA,0.4,12,4.39166391733621,12.7553074737538
"Reggie Wayne","WR","IND",70,16,NA,NA,NA,0,0,87.9,1172,6.2,NA,0.6,21,3.56724216900779,9.72656036646563
"Steve Smith","WR","CAR",71,17,NA,NA,NA,33.3,0.1,71.8,1110.9,5.9,NA,0.9,15,3.23139216499131,7.36788187563653
"Eric Decker","WR","DEN",72,18,NA,NA,NA,0,0,71.3,964,8.9,NA,0.8,13,3.75228742812875,9.07737787373094
"Torrey Smith","WR","BAL",73,19,NA,NA,NA,27.7,0.1,61.6,1026.1,7.2,NA,0.5,12,3.40961569555939,7.95443966704548
"Wes Welker","WR","DEN",74,20,NA,NA,NA,5.3,0,87,1063.1,6.8,NA,0.1,20,4.11317027503331,11.339455729884
"Chris Ivory","RB","NYJ",75,23,NA,NA,NA,961.1,6.5,14.6,120.5,0.4,NA,1.6,14,6.44519834626854,21.2095533088865
"Antonio Brown","WR","PIT",76,21,NA,NA,NA,40.7,0,79.1,1061.9,6.2,NA,1.3,15,3.34349505277567,7.47669110608653
"Rashard Mendenhall","RB","ARI",77,24,NA,NA,NA,916.2,6.1,22.5,170.6,0.4,NA,1.4,8,4.88605712825817,14.9476507874147
"Eddie Lacy","RB","GB",78,25,NA,NA,NA,878.6,6.5,21.8,164.6,0.6,NA,1.3,21,3.98784521755118,9.8169577719288
"Jordy Nelson","WR","GB",79,22,NA,NA,NA,0,0,65.4,977.6,7.7,NA,0.3,12,3.26797506577702,5.72909583289545
"Danny Amendola","WR","NE",80,23,NA,NA,NA,7,0,90.5,1039.1,6.7,NA,1,17,4.8364932029491,16.6016483086018
"Ryan Mathews","RB","SD",81,26,NA,NA,NA,878.5,4.9,31.9,249.1,0.6,NA,1.9,12,3.09924491845315,4.92470023410902
"Hakeem Nicks","WR","NYG",82,24,NA,NA,NA,0,0,68.2,1001.6,7.1,NA,0.5,17,4.42035879549485,13.9861217484512
"Montee Ball","RB","DEN",82,27,NA,NA,NA,827.3,7,21.9,171.7,0.5,NA,1.4,14,4.25436023217865,9.70490372183053
"Ahmad Bradshaw","RB","IND",84,28,NA,NA,NA,825.9,5.8,27.8,211.9,0.9,NA,1.4,13,5.17082154806906,16.795007814824
"Cecil Shorts","WR","JAC",84,25,NA,NA,NA,0,0,67.1,1048.9,6.2,NA,0.6,10,3.72794250664523,8.78316334433861
"Mike Wallace","WR","MIA",86,26,NA,NA,NA,30.7,0,64.3,992.5,6.8,NA,1,18,3.843294116723,9.79176085947602
"James Jones","WR","GB",87,27,NA,NA,NA,0,0,67.5,900.7,8.4,NA,0.8,10,5.05540672336794,16.3631111421392
"T.Y. Hilton","WR","IND",88,28,NA,NA,NA,26.7,0,62.4,918.1,6.9,NA,0.1,9,3.29399695087224,5.69902275979546
"Shane Vereen","RB","NE",89,29,NA,NA,NA,527.4,4.1,51.4,441.1,2.5,NA,0.5,7,6.18044567811096,21.7267501572562
