"name","pos","projections","risk","inflatedCost","team","overallRank","pick","positionRank","projectedPts_espn","projectedPts_cbs","projectedPts_nfl","projectedPts_fp","projectedPtsAvg","projectedPtsLatent","vor","sdPick","sdPts","avgCost","projectedCost","bidUpTo","simulation"
"Chad Hall","WR",6.4,NA,1,"SF",518,NA,208,NA,NA,NA,6.4,6.4,2.18324624041702,-143.876666666667,NA,NA,1,1,1,NA
"Chad Henne","QB",70.17,3.66196797234702,1,"JAC",202,NA,33,60.54,72.81,NA,70.17,67.5066666666667,55.5862414779205,-153.586,NA,6.45832021504044,1,1,1,0
"Chandler Harnish","QB",NA,NA,1,"IND",654,NA,85,NA,NA,NA,NA,0,2.55765622217905,NA,NA,NA,1,1,1,NA
"Charles Clay","TE",28.775,1.4771893520819,1,"MIA",321,NA,51,NA,28.875,NA,28.775,28.825,10.3088528823216,-84.8375,NA,0.0707106781186558,1,1,1,0
"Charles Johnson","WR",32.6875,1.74020606414384,1,"CAR",303,NA,128,NA,NA,33.875,32.6875,33.28125,11.804616517413,-117.589166666667,NA,0.839689302659025,1,1,1,0
"Charlie Batch","QB",NA,NA,1,NA,655,NA,86,NA,NA,NA,NA,0,2.55765622217905,NA,NA,NA,1,1,1,NA
"Charlie Whitehurst","QB",4.66,1.63004136313767,1,"SD",545,NA,60,NA,5.392,NA,4.66,5.026,3.15082435348177,-219.096,NA,0.517602163828553,1,1,1,0
"Charly Martin","WR",NA,NA,1,"SF",656,NA,240,NA,NA,NA,NA,0,2.55765622217905,NA,NA,NA,1,1,1,NA
"Chase Coffman","TE",11.0375,NA,1,"ATL",455,NA,88,NA,NA,NA,11.0375,11.0375,2.14406303022679,-102.575,NA,NA,1,1,1,NA
"Chase Daniel","QB",14.794,NA,1,"KC",421,NA,45,NA,NA,NA,14.794,7.397,2.2553137210852,-208.962,NA,NA,1,1,1,NA
"Chastin West","WR",11.0375,NA,1,"DET",455,NA,192,NA,NA,NA,11.0375,11.0375,2.14406303022679,-139.239166666667,NA,NA,1,1,1,NA
"Chaz Schilens","WR",28.375,NA,1,NA,324,NA,139,NA,NA,28.375,28.375,28.375,9.72576666156624,-121.901666666667,NA,NA,1,1,1,NA
"Chris ""Beanie"" Wells","RB",13.3025,NA,1,NA,435,NA,126,NA,NA,NA,13.3025,13.3025,2.1958226548154,-106.568333333333,NA,NA,1,1,1,NA
"Chris Givens","WR",124.185,6.74588568991815,2,"STL",118,102,47,143.15,125.7375,88.625,124.185,120.725208333333,133.391555783468,-26.0916666666667,16.35,22.876668461466,1.1,2,1,6.52502965784346
"Chris Gragg","TE",20.0375,NA,1,"BUF",380,NA,69,NA,NA,NA,20.0375,20.0375,2.62460454085573,-93.575,NA,NA,1,1,1,NA
"Chris Gronkowski","RB",1.65,NA,1,"SD",586,NA,181,NA,NA,NA,1.65,1.65,2.42558751241296,-118.220833333333,NA,NA,1,1,1,NA
"Chris Harper","WR",16.075,4.03480013833942,1,"SEA",411,NA,173,NA,NA,26.75,16.075,21.4125,6.22854303628878,-134.201666666667,NA,7.54836488916639,1,1,1,0
"Chris Hogan","WR",NA,NA,1,"BUF",657,NA,241,NA,NA,NA,NA,0,2.55765622217905,NA,NA,NA,1,1,1,NA
"Chris Ivory","RB",157.695,6.44519834626854,4,"NYJ",86,66.7,25,134.625,158.3075,186.45,157.695,158.902708333333,176.098686703674,37.8241666666667,16.2,21.2095533088865,3.8,5,1,9.14708103233699
"Chris Johnson","RB",200.675,3.19242299341093,33,"TEN",50,18.3,13,186.3,207.8125,199.325,200.675,198.053125,199.506656635662,80.8041666666667,5.05,8.96234236844178,28.9,33,19,8.01400499477946
"Chris Ogbonnaya","RB",29.895,1.4910959828346,1,"CLE",313,NA,92,NA,29.7375,NA,29.895,29.81625,10.7752741202051,-89.9758333333333,NA,0.11136931803688,1,1,1,0
"Chris Owusu","WR",7.85,NA,1,"TB",499,NA,200,NA,NA,NA,7.85,7.85,2.15003581904205,-142.426666666667,NA,NA,1,1,1,NA
"Chris Polk","RB",14.5325,4.35666681413069,1,"PHI",425,181.9,123,12.375,NA,NA,14.5325,13.45375,4.8845065821543,-105.338333333333,28.5,1.52558288040998,1,1,1,0
"Chris Pressley","RB",6.355,NA,1,"CIN",519,NA,156,NA,NA,NA,6.355,6.355,2.18458198425793,-113.515833333333,NA,NA,1,1,1,NA
"Chris Thompson","RB",9.05,NA,1,"WAS",476,NA,141,NA,NA,NA,9.05,4.525,2.13697185086488,-110.820833333333,NA,NA,1,1,1,NA
"Christian Ponder","QB",169.888,8.33297093164833,1,"MIN",75,201.7,28,162.56,201.862,143.7,169.888,168.2025,193.934275509729,-53.868,29.4,24.2298243424641,1,1,1,0
"Christine Michael","RB",38.49,4.42967143734718,1,"SEA",280,145.7,81,29.95,46.9175,42.85,38.49,39.5435416666667,37.4173524727689,-81.3808333333333,19.75,7.26759112286641,1,1,1,0
"Cierre Wood","RB",12.7625,NA,1,"HOU",439,NA,128,NA,NA,NA,12.7625,6.28125,2.17925848829407,-107.108333333333,NA,NA,1,1,1,NA
"Clay Harbor","TE",9.7625,1.75834514773432,1,"PHI",469,NA,92,NA,NA,8.5,9.7625,9.13125,3.87212883807695,-103.85,NA,0.892722311248016,1,1,1,0
"Clyde Gates","WR",23.55,NA,1,"NYJ",353,NA,154,NA,NA,NA,23.55,23.55,3.01145237108489,-126.726666666667,NA,NA,1,1,1,NA
