"name","player","pos","team","overallRank","pick","positionRank","projections","projectedPts_accu","projectedPts_cbs1","projectedPts_cbs2","projectedPts_espn","projectedPts_ffn","projectedPts_fp","projectedPts_fs","projectedPts_fftoday","projectedPts_fbg1","projectedPts_fbg2","projectedPts_fbg3","projectedPts_fbg4","projectedPts_fox","projectedPts_nfl","projectedPts_wf","projectedPts_yahoo","projectedPtsMean","projectedPtsMedian","vor","sdPick","sdPts","risk","cost_yahoo","costProjected_yahoo","costAvg_yahoo","costMax_yahoo","adp_yahoo","cost_espn","adp_espn","cost_fp","adp_fp","adp_ffc","adpSD_ffc","avgCost","inflatedCost"
"ALFREDMORRIS","Alfred Morris","RB","WAS",54,21.7869163083692,14,186.433381640909,228.265,207.65,185.85,190.45,NA,192.03,170.75,185.45,179.775,183.125,174.95,184,220.15,191.4,NA,173.425,186.852,186.433381640909,68.5055674398385,4.8826,17.0627806662904,4.1587461119277,33.4,36,34.7,36,26.9,29.7,25.6,31,23,23.3,3.8,34.7,40
"ZACSTACY","Zac Stacy","RB","STL",55,25.5016948305169,15,184.627674239166,160.64,209.7,183.525,188.575,NA,193.2125,187.25,208.65,174.75,176.5,177.275,181.875,194.075,189.5,NA,196.15,184.432916666667,184.627674239166,66.6998600380956,4.6826,13.1625689589941,3.75303074856225,33.6,36,34.8,36,26.8,35.5,24.1,30,27,27.3,3.9,34.8,40
"VICTORCRUZ","Victor Cruz","WR","NYG",56,37.499700029997,14,182.791067250929,199.655,179.375,167.875,172.25,NA,176.475,208.525,195.25,181.75,170.375,181.5,204.875,185.25,207.75,NA,179.475,185.234691558442,182.791067250929,39.3918455613183,7.2739,14.097472339878,4.12410647409242,25.8,35,30.4,35,34.4,14.5,46.7,21,41,37.7,4.2,30.4,35
"PIERREGARCON","Pierre Garcon","WR","WAS",57,37.917898210179,15,179.098153443051,163.1,199,183.375,179.025,NA,184.4875,187.825,170,174.2,175,182.55,176.625,145.75,208.925,NA,172.4,179.552104978355,179.098153443051,35.698931753441,5.5326,15.0942118356983,4.03481635797883,18.9,23,20.95,23,40.8,16.3,44,23,40,39,4.6,20.95,24
"GENOSMITH","Geno Smith","QB","NYJ",58,170.8,27,177.600373559443,168.79,191.74,173.78,153.14,NA,174.152,157.14,187.34,213.5,181.8,204.88,191.5,189.84,174.88,NA,198.98,173.283002380952,177.600373559443,-67.4819405570805,14,17.2571860827455,5.15949423866128,1,0,0,0,NA,0,170,0,NA,NA,NA,0,1
"LARRYFITZGERALD","Larry Fitzgerald","WR","ARI",59,39.8840465953405,16,176.874789598011,124.37,203.875,190.125,181.225,NA,189.275,182.75,172.5,169.275,162.75,175.525,173,158.25,203.75,NA,181.07,177.446682900433,176.874789598011,33.4755679084004,7.3065,20.0832334121205,4.71723227450147,23.9,25,24.45,25,36.6,19.1,38.1,23,34,40.5,5.1,24.45,28
"TOBYGERHART","Toby Gerhart","RB","JAC",60,37.6669133086691,16,175.949839519971,148.925,200.575,178.625,160.725,NA,186.56,205.625,212.275,173.175,181.75,171.1,196.375,160.475,180.6,NA,178.8,176.437214285714,175.949839519971,58.0220253189007,7.2652,18.1159137019981,4.51899874091211,21,36,28.5,36,42.6,11.2,61,16,44,38,5.3,28.5,33
"CORDARRELLEPATTERSON","Cordarrelle Patterson","WR","MIN",61,49.3911508849115,17,175.499980106156,89.705,155.375,159.375,160.15,NA,173.85,205.725,184.325,169.7,162,165.975,171.125,155.875,203.275,NA,165.095,173.512326839827,175.499980106156,32.1007584165454,8.5652,27.0835208198639,5.54229658531071,12.3,22,17.15,22,45.9,9.3,67.3,15,51,43.8,7,17.15,20
"RODDYWHITE","Roddy White","WR","ATL",62,38.8664933506649,18,174.862029596572,125.005,187.625,171.5,167.5,NA,176.7125,187.5,189.375,174.25,176.375,172.625,177,158.5,206.625,NA,173.825,174.568869047619,174.862029596572,31.4628079069617,8.5652,18.3488689850041,4.68190631105626,19.5,27,23.25,27,39.9,13.9,50.3,21,45,39.2,5.1,23.25,27
"REGGIEBUSH","Reggie Bush","RB","DET",63,38.418898110189,17,174.823967960104,153.17,190.05,161.3,195.4,NA,172.5,181.125,155.075,182.15,198,175.125,192.5,184.15,201.95,NA,158.625,174.51125,174.823967960104,56.8961537590331,9.0652,16.4680702046031,4.5504728614131,11,24,17.5,24,62.4,23.2,31.3,29,33,33.3,4.7,17.5,20
