"name","name_yahoo","pos","team_yahoo","passYds","passTds","passInt","rushAtt","rushYds","rushTds","recTgts","rec","recYds","recTds","returnTDs","twoPts","fumbles","pts"
"BRIANQUICK","Brian Quick","WR","STL",0,0,0,0,0,0,39,25,375,3,0,0,0,55.5
"ANDREROBERTS","Andre Roberts","WR","WAS",0,0,0,2,21,0,73,36,453,2,0,0,2,55.4
"PHILLYBROWN","Philly Brown","WR","CAR",0,0,0,8,95,0,36,21,296,2,1,0,1,55.1
"NILESPAUL","Niles Paul","TE","WAS",0,0,0,0,0,0,52,39,507,1,0,0,1,54.7
"STEPFANTAYLOR","Stepfan Taylor","RB","ARI",0,0,0,63,208,1,15,11,79,3,0,1,0,54.7
"JORDANCAMERON","Jordan Cameron","TE","CLE",0,0,0,0,0,0,48,24,424,2,0,0,0,54.4
"DANIELHERRON","Daniel Herron","RB","IND",0,0,0,78,351,1,26,21,173,0,0,0,2,54.4
"LUKEWILLSON","Luke Willson","TE","SEA",0,0,0,0,0,0,40,22,362,3,0,0,0,54.2
"CJSPILLER","C.J. Spiller","RB","BUF",0,0,0,78,300,0,22,19,125,1,1,0,1,52.5
"PRESTONPARKER","Preston Parker","WR","NYG",0,0,0,0,0,0,56,36,418,2,0,0,1,51.8
"JACQUIZZRODGERS","Jacquizz Rodgers","RB","ATL",0,0,0,58,217,1,40,29,173,1,0,0,0,51
"JOSEPHRANDLE","Joseph Randle","RB","DAL",0,0,0,51,343,3,5,4,23,0,0,0,2,50.6
"TRAVISBENJAMIN","Travis Benjamin","WR","CLE",0,0,0,3,11,0,46,18,314,3,0,0,0,50.5
"SHONNGREENE","Shonn Greene","RB","TEN",0,0,0,94,392,2,3,1,13,0,0,0,1,50.5
"DEREKANDERSON","Derek Anderson","QB","CAR",701,5,0,8,24,0,0,0,0,0,0,0,0,50.44
"JORDANTODMAN","Jordan Todman","RB","JAX",0,0,0,32,186,1,37,25,198,1,0,0,0,50.4
"ANDREWQUARLESS","Andrew Quarless","TE","GB",0,0,0,0,0,0,46,29,323,3,0,0,0,50.3
"LOUISMURPHY","Louis Murphy Jr.","WR","TB",0,0,0,0,0,0,56,31,380,2,0,0,0,50
