"name","player","pos","team","points","vor","simulation","sdPick","sdPts","risk","avgCost","inflatedCost","bidUpTo","bidUpToSim"
"CHRISTHOMPSON","Chris Thompson","RB","WAS",0,-124.114475214065,NA,NA,NA,NA,1,1,1,1
"CHRISTIANPONDER","Christian Ponder","QB","MIN",6.37,-135.377601193478,0,NA,5.89727055509581,3.30396859338526,1,1,1,1
"CHRISTINEMICHAEL","Christine Michael","RB","SEA",73.675,-50.4394752140653,0.693147180559945,32.4,45.5161710045635,6.28891332741243,3.6,4,1,1
"CHRISWILLIAMS","Chris Williams","WR","CHI",5.2,-141.929127658388,NA,NA,NA,NA,1,1,1,1
"CINCINNATIBENGALS","Cincinnati Bengals","DST","CIN",0,NA,NA,22.2,NA,2.86139749063349,0.6,1,1,1
"CJANDERSON","C.J. Anderson","RB","DEN",62.8983608946796,-61.2161143193857,0,32.2,25.1260613374507,5.01585808792682,1,1,1,1
"CJFIEDOROWICZ","C.J. Fiedorowicz","TE","HOU",44.4220775462963,-76.1739109382196,0,76.5,31.2684784950569,9.10938683857476,1,1,1,1
"CJSPILLER","C.J. Spiller","RB","BUF",161.75,37.6355247859347,2.484906649788,8.3739,63.1212820687286,6.25996700876435,24.95,29,2,7
"CLARKHARRIS","Clark Harris","TE","CIN",0,-120.595988484516,NA,NA,NA,NA,1,1,1,1
"CLAYHARBOR","Clay Harbor","TE","JAC",42.8130656091417,-77.7829228753742,0,NA,24.1312254489213,5.81750812480304,1,1,1,1
"CLEOLEMON","Cleo Lemon","QB","FA",0,-141.747601193478,NA,NA,NA,NA,1,1,1,1
"CLEVELANDBROWNS","Cleveland Browns","DST","CLE",0,NA,NA,24.9,NA,3.12459880314189,0.55,1,1,1
"CLINTSTITSER","Clint Stitser","K","FA",0,NA,NA,NA,NA,NA,1,1,1,1
"COBYFLEENER","Coby Fleener","TE","IND",88.73125,-31.8647384845159,0,21.4,16.608185419144,4.2057059465644,1,2,1,1
"CODYLATIMER","Cody Latimer","WR","DEN",58.125,-89.0041276583879,0,31.1,40.8727386925462,6.87858289501203,1,1,1,1
"CODYPARKEY","Cody Parkey","K","PHI",0,NA,NA,40,NA,5.71693975398119,0.8,1,1,1
"COLEBEASLEY","Cole Beasley","WR","DAL",57.218643841829,-89.9104838165589,0,55.2,23.6426290046179,6.35698499955168,1,1,1,1
"COLINKAEPERNICK","Colin Kaepernick","QB","SF",188.232860833148,46.4852596396705,3.36729582998647,10.20325,17.378475076945,4.20047565345611,5.05,7,17,25
"COLTLYERLA","Colt Lyerla","TE","GB",0,-120.595988484516,NA,NA,NA,NA,1,1,1,1
"COLTMCCOY","Colt McCoy","QB","WAS",11.187,-130.560601193478,0,NA,15.8208071222678,4.87476822717671,1,1,1,1
"CONNORBARTH","Connor Barth","K","TB",0,NA,NA,12.5,NA,2.43637787170135,0.7,1,1,1
"CONNORHUGHES","Connor Hughes","K","FA",0,NA,NA,NA,NA,NA,1,1,1,1
"CONNORSHAW","Connor Shaw","QB","CLE",0,-141.747601193478,NA,NA,NA,NA,1,1,1,1
"COOPERHELFET","Cooper Helfet","TE","SEA",20.4,-100.195988484516,0,NA,20.8950053840625,5.18883965684017,1,1,1,1
"CORDARRELLEPATTERSON","Cordarrelle Patterson","WR","MIN",167.414368348596,20.2852406902082,0,12.5565,25.9911713776685,4.5296890144003,17.15,20,1,1
